Plan ID,Cluster,Plan Name,Percentile,Day Mins,Evening Mins,Night Mins,International Mins,Day Cost,Evening Cost,Night Cost,International Cost,Benchmark Monthly Price
C1-P1,0,HH Starter,12.5,170,140,150,10,14.79,9.1,7.8,3.0,34.69
C1-P2,0,HH Basic,25.0,190,160,180,10,16.53,10.4,9.36,3.0,39.29
C1-P3,0,HH Standard,37.5,210,170,200,10,18.27,11.05,10.4,3.0,42.72
C1-P4,0,HH Value,50.0,220,190,220,15,19.14,12.35,11.44,4.5,47.43
C1-P5,0,HH Plus,62.5,240,210,240,15,20.88,13.65,12.48,4.5,51.51
C1-P6,0,HH Select,75.0,250,230,250,15,21.75,14.95,13.0,4.5,54.2
C1-P7,0,HH Advance,87.5,280,240,270,15,24.36,15.6,14.04,4.5,58.5
C2-P1,1,MB Starter,16.7,110,190,160,10,9.57,12.35,8.32,3.0,33.24
C2-P2,1,MB Basic,33.3,130,210,180,10,11.31,13.65,9.36,3.0,37.32
C2-P3,1,MB Standard,50.0,150,230,200,15,13.05,14.95,10.4,4.5,42.9
C2-P4,1,MB Value,66.7,170,260,230,15,14.79,16.9,11.96,4.5,48.15
C2-P5,1,MB Plus,83.3,190,280,250,15,16.53,18.2,13.0,4.5,52.23
C3-P1,2,EM Starter,7.1,230,240,240,10,20.01,15.6,12.48,3.0,51.09
C3-P2,2,EM Basic,14.3,230,250,240,10,20.01,16.25,12.48,3.0,51.74
C3-P3,2,EM Standard,21.4,240,260,260,10,20.88,16.9,13.52,3.0,54.3
C3-P4,2,EM Value,28.6,250,270,270,10,21.75,17.55,14.04,3.0,56.34
C3-P5,2,EM Plus,35.7,260,270,270,10,22.62,17.55,14.04,3.0,57.21
C3-P6,2,EM Select,42.9,270,270,270,15,23.49,17.55,14.04,4.5,59.58
C3-P7,2,EM Advance,50.0,270,280,280,15,23.49,18.2,14.56,4.5,60.75
C3-P8,2,EM Pro,57.1,270,290,290,20,23.49,18.85,15.08,6.0,63.42
C3-P9,2,EM Elite,64.3,280,290,290,25,24.36,18.85,15.08,7.5,65.79
C3-P10,2,EM Premium,71.4,290,290,290,25,25.23,18.85,15.08,7.5,66.66
C3-P11,2,EM Max,78.6,300,300,300,30,26.1,19.5,15.6,9.0,70.2
C3-P12,2,EM Ultra,85.7,310,310,310,35,26.97,20.15,16.12,10.5,73.74
C3-P13,2,EM Supreme,92.9,320,320,320,40,27.84,20.8,16.64,12.0,77.28
